cluster,n,region,regions_all,date_BP_median,date_BP_min,date_BP_max,lat,lon,top_cultures,dominant_Y_hg,dominant_mt_hg,climate
210,9,Americas,Americas (9),2000,1901,2000,4.73,-74.28,Colombia_LagunadeLaHerrera_Formative (9),n/ (6); Q1 (3),—,Late Holocene (post-4.2ka) (9)
162,9,North Africa,North Africa (9),7925,7851,7981,35.24,24.99,Greece_Crete_Aposelemis_N (8); Greece_Peloponnese_N (1),n/ (5); G2 (4),K (1),Mid-Holocene (Holocene Climatic Optimum / 8.2ka aftermath) (9)
76,9,Siberia / North Asia,Siberia / North Asia (5); Central Asia / Steppe (4),4849,4707,4937,56.46,74.88,Russia_Omsk_Eneolithic_Okunevsky (4); Russia_Omsk_Eneolithic_Chernoozersky (2); Russia_Omsk_Eneolithic (2),n/ (4); Q1 (4); C2 (1),U4 (2); U5 (2); D4 (2),Mid-Holocene (Holocene Climatic Optimum / 8.2ka aftermath) (9)
71,9,Europe,Europe (9),7369,7248,7441,56.28,25.13,Latvia_EMN_Narva (9),I2 (5); R1 (2); n/ (2),U5 (6); U4 (3),Mid-Holocene (Holocene Climatic Optimum / 8.2ka aftermath) (9)
38,9,SE Asia / Oceania,SE Asia / Oceania (9),150,135,215,-17.68,168.4,Vanuatu_150BP (6); Vanuatu_200BP (2); Vanuatu_200BP-oPolynesian (1),n/ (3); O1 (2); S (1),R (2); P1 (2); P2 (1),Late Holocene (post-4.2ka) (9)
79,9,Europe,Europe (9),1682,1646,1838,37.88,12.48,Italy_Sicily_ImperialRoman_Sicilia (7); Italy_Sicily_LateAntiquity_ImperialRoman_Sicilia (2),n/ (7); J1 (1); R1 (1),T1 (2); R0 (1); H8 (1),Late Holocene (post-4.2ka) (9)
36,9,Europe,Europe (9),3490,3460,3705,37.54,12.26,Italy_Sicily_MBA (3); Italy_Sicily_MBA-3 (2); Italy_Sicily_MBA-2 (2),n/ (5); G2 (3); R1 (1),K2 (2); K1 (2); L3 (1),Late Holocene (post-4.2ka) (9)
41,9,Europe,Europe (9),7033,7033,7110,56.28,25.13,Latvia_EMN_Narva (7); Lithuania_EMN_Narva (1); Latvia_EMN_Narva-Dup (1),R1 (7); I2 (2),U5 (7); U4 (2),Mid-Holocene (Holocene Climatic Optimum / 8.2ka aftermath) (9)
87,9,Europe,Europe (9),7208,7145,7300,56.78,40.45,Russia_Ivanovo_LN_Lyalovo-Dup (6); Russia_Ivanovo_LN_Lyalovo (3),R1 (7); n/ (2),U5 (4); U4 (3); K1 (2),Mid-Holocene (Holocene Climatic Optimum / 8.2ka aftermath) (9)
18,9,Near East / SW Asia,Near East / SW Asia (9),4698,4550,4838,36.15,54.38,Iran_TepeHissar_C (6); Iran_BozoodpeyGhaleBen_MBA_Caucasus (2); Turkmenistan_EBA (1),n/ (6); L (1); T (1),HV (3); W3 (2); U7 (2),Mid-Holocene (Holocene Climatic Optimum / 8.2ka aftermath) (9)
70,9,Europe,Europe (9),1716,1648,1800,41.31,36.33,Turkey_LateAntiquity_ImperialRoman (4); Turkey_ImperialRoman_Roman (3); Turkey_LateAntiquity_ImperialRoman-1 (1),R1 (4); T1 (2); n/ (1),D4 (3); X2 (2); U3 (1),Late Holocene (post-4.2ka) (9)
156,9,Europe,Europe (9),1661,1577,1762,56.51,40.21,Russia_Roman_RyazanOka (8); Russia_MigrationPeriod_RyazanOka (1),n/ (9),n/ (4); U4 (1); T2 (1),Late Holocene (post-4.2ka) (9)
120,9,Near East / SW Asia,Near East / SW Asia (9),800,698,851,33.56,35.4,Lebanon_Medieval (3); Lebanon_Medieval-2 (2); Lebanon_Medieval-5 (1),R1 (5); E1 (1); T1 (1),J1 (3); HV (2); H5 (1),Late Holocene (post-4.2ka) (9)
103,9,Near East / SW Asia,Near East / SW Asia (9),1406,1279,1525,33.85,35.78,Lebanon_Medieval (4); Lebanon_Chhim_Medieval (2); Lebanon_Chhim_Medieval-o (1),n/ (6); T1 (1); R1 (1),H2 (1); U3 (1),Late Holocene (post-4.2ka) (9)
118,9,Near East / SW Asia,Near East / SW Asia (6); North Africa (3),9591,9565,9600,31.99,35.98,Jordan_PPNB (5); Cyprus_PPNB (3); Israel_PPNB_LN (1),E1 (3); F (2); n/ (2),T1 (3); n/ (2); R0 (1),Early Holocene (rapid warming) (9)
179,9,Americas,Americas (9),2500,2395,2594,-30.89,-62.94,Argentina_Cordoba_2500BP (8); Argentina_Cordoba_2600BP (1),Q1 (4); n/ (3); K (1),C1 (6); A2 (2); C (1),Late Holocene (post-4.2ka) (9)
173,9,Americas,Americas (9),1150,1015,1263,25.81,-105.79,Mexico_1100BP (9),n/ (5); Q1 (4),B2 (5); A2 (2); C1 (2),Late Holocene (post-4.2ka) (9)
33,8,North Africa,North Africa (8),400,400,400,36.95,-3.55,Spain_NazariPeriod_Muslim (6); Spain_NazariPeriod_African_Muslim (1); Spain_NazariPeriod_Muslim-o (1),n/ (4); BT (1); R (1),U6 (2); H1 (1); L2 (1),Late Holocene (post-4.2ka) (8)
40,8,Europe,Europe (8),7658,7637,7677,56.28,25.13,Latvia_LateMesolithic_Kunda (8),R1 (4); I2 (2); n/ (2),U5 (4); U2 (4),Mid-Holocene (Holocene Climatic Optimum / 8.2ka aftermath) (8)
97,8,Near East / SW Asia,Near East / SW Asia (8),6087,6047,6156,39.73,45.2,Armenia_C (8),n/ (4); L1 (4),K1 (5); U4 (1); K (1),Mid-Holocene (Holocene Climatic Optimum / 8.2ka aftermath) (8)
93,8,Europe,Europe (8),7624,7564,7722,58.54,15.05,Sweden_Mesolithic_HG (7); Sweden_Mesolithic (1),I2 (5); n/ (3),U5 (4); U2 (3),Mid-Holocene (Holocene Climatic Optimum / 8.2ka aftermath) (8)
90,8,Europe,Europe (8),3050,3050,3100,39.99,3.84,Spain_LBA (8),R1 (5); n/ (2); P1 (1),n/ (3); K1 (2); J1 (1),Late Holocene (post-4.2ka) (8)
67,8,Europe,Europe (8),6815,6718,6832,37.72,12.92,Italy_Sicily_MN (8),n/ (5); C1 (2),H1 (3); K1 (3); K2 (1),Mid-Holocene (Holocene Climatic Optimum / 8.2ka aftermath) (8)
49,8,Central Asia / Steppe,Central Asia / Steppe (8),3475,3475,3475,53.03,50.39,Russia_Samara_LBA_Srubnaya (5); Russia_Tatarstan_LBA_Srubnaya (2); Russia_Samara_LBA_Srubnaya_Daunian (1),R1 (5); n/ (3),U5 (4); J2 (2); H5 (1),Late Holocene (post-4.2ka) (8)
109,8,East Asia,East Asia (8),5577,5454,5690,53.19,103.38,Russia_Irkutsk_N (6); Russia_Irkutsk_N_Angara (2),n/ (6); N (1); Q1 (1),R1 (3); D4 (2); A+ (1),Mid-Holocene (Holocene Climatic Optimum / 8.2ka aftermath) (8)
125,8,East Asia,East Asia (8),3311,3239,3429,46.77,111.6,Mongolia_Sukhbaatar_MLBA (4); Mongolia_LBA_Ulaanzuukh-2 (2); Mongolia_Sukhbaataraimag_MLBA (1),Q1 (4); n/ (4),D5 (2); C4 (2); D4 (2),Late Holocene (post-4.2ka) (8)
126,8,Central Asia / Steppe,Central Asia / Steppe (8),2238,2123,2304,50.23,75.14,Kazakhstan_Hun_Nomad_Sarmatian (1); Kazakhstan_Tasmola-2 (1); Kazakhstan_IA_Korgantas-1 (1),Q1 (4); n/ (2); F (1),D4 (3); C4 (1); U5 (1),Late Holocene (post-4.2ka) (8)
160,8,Other,Other (8),2007,1842,2062,66.12,-170.46,Russia_Chukotka_Antiquity_OldBeringSea (3); Russia_Chukotka_OldBeringSea (3); Russia_Antiquity_OldBeringSea (1),Q1 (7); F (1),A2 (6); D4 (2),Late Holocene (post-4.2ka) (8)
152,8,Americas,Americas (8),1888,1783,1992,20.55,-76.99,Cuba_PreCeramic (8),n/ (4); Q1 (4),C1 (6); D1 (1); A2 (1),Late Holocene (post-4.2ka) (8)
131,8,Central Asia / Steppe,Central Asia / Steppe (8),4200,4042,4200,48.06,86.42,China_Xinjiang_Tuoganbai_BA (4); China_Xinjiang_Tuoganbai_BA_Chemurcheck (2); Kazakhstan_MBA (1),n/ (3); P1 (2); R1 (2),R1 (3); H2 (3); T (1),Late Holocene (post-4.2ka) (8)
