cluster,n,region,regions_all,date_BP_median,date_BP_min,date_BP_max,lat,lon,top_cultures,dominant_Y_hg,dominant_mt_hg,climate
159,18,Americas,Americas (18),4875,4800,5053,33.25,-119.5,USA_4800BP (13); USA_California_4800BP (3); USA_California_4900BP (2),Q1 (8); n/ (5); P1 (1),A2 (13); n/ (2); D1 (2),Mid-Holocene (Holocene Climatic Optimum / 8.2ka aftermath) (18)
154,18,East Asia,East Asia (18),4600,4296,4767,35.3,100.4,China_Qinghai_Zongri (15); China_Qinghai_Lajiasite_LN (2); China_Qinghai_Jinchankousite_LN (1),N1 (6); O2 (4); n/ (3),n/ (7); G2 (5); D4 (2),Mid-Holocene (Holocene Climatic Optimum / 8.2ka aftermath) (18)
190,18,Central Asia / Steppe,Central Asia / Steppe (9); Other (9),1537,1450,1675,56.0,54.03,Russia_Boyasky_IA_Mazunino (4); Russia_Bashkortostan_Roman_Mazunino (3); Russia_Bashkortostan_Roman_Bakhmutinsky_Mazuninsky (3),N1 (8); R1 (3); A1 (3),U4 (7); H1 (1); Z1 (1),Late Holocene (post-4.2ka) (18)
184,17,Europe,Europe (17),2750,2750,2850,41.73,26.33,Bulgaria_KapitanAndreevo_EIA (11); NorthMacedonia_IA (2); Bulgaria_Stambolovo_EIA (2),n/ (8); E1 (8); R1 (1),H1 (3); H3 (2); K1 (2),Late Holocene (post-4.2ka) (17)
62,17,Near East / SW Asia,Near East / SW Asia (17),6150,6150,6150,32.97,35.33,Israel_LateC (16); Israel_LateC-2 (1),n/ (10); T1 (7),T2 (4); T1 (3); I6 (2),Mid-Holocene (Holocene Climatic Optimum / 8.2ka aftermath) (17)
53,17,Europe,Europe (17),7127,7019,7210,42.5,0.5,Spain_EN (15); Spain_Mesolithic (2),n/ (7); I2 (4); R1 (3),K1 (3); J1 (3); T2 (2),Mid-Holocene (Holocene Climatic Optimum / 8.2ka aftermath) (17)
26,17,Europe,Europe (16); North Africa (1),1450,1369,1650,37.32,-4.01,Spain_LateAntiquity (10); Spain_Roman_LateAntiquity-oAfrica (2); Spain_LateAntiquity_ImperialRoman-oAfrica (2),n/ (6); R1 (3); J2 (3),HV (3); U5 (2); T2 (2),Late Holocene (post-4.2ka) (17)
91,17,Americas,Americas (17),100,60,280,-53.84,-69.57,Argentina_BeagleChannel_100BP_Yamana (6); Argentina_StraitofMagellan_100BP_Kaweskar (4); Argentina_StraitofMagellan_100BP_Selknam (3),n/ (9); Q1 (6); P1 (1),D4 (7); D1 (5); C1 (5),Late Holocene (post-4.2ka) (17)
22,16,South Asia,South Asia (16),130,124,199,30.25,79.74,India_Roopkund-B (12); India-oCentralEurope (1); India_Roopkund-oNearEast (1),n/ (6); R1 (2); G2 (1),H1 (6); H6 (2); W1 (1),Late Holocene (post-4.2ka) (16)
57,16,Near East / SW Asia,Near East / SW Asia (16),12700,12700,12700,32.65,35.07,Israel_Natufian (16),E1 (13); E (3),n/ (5); H+ (4); JT (3),Younger Dryas (abrupt cold reversal) (16)
80,16,Other,Other (13); Americas (3),1062,795,1250,66.12,-170.46,Russia_Chukotka_EarlyModern_OldBeringSea (13); Russia_Chukotka_OldBeringSea (3),Q1 (7); n/ (6); C2 (3),A2 (13); D4 (3),Late Holocene (post-4.2ka) (16)
165,16,East Asia,East Asia (16),419,378,450,25.11,107.66,China_Guangxi_HuatuyanCave_MingDynasty (8); China_Guizhou_Dasongshan_MingDynasty (6); China_Guangxi_HuaqiaoCaves_MingDynasty (1),n/ (8); O2 (3); C1 (3),n/ (6); M7 (2); D4 (1),Late Holocene (post-4.2ka) (16)
142,16,Americas,Americas (16),900,762,998,61.08,-45.55,Greenland_EarlyNorse (12); Greenland_EarlyNorse-1 (2); Greenland_LateNorse (2),n/ (7); I1 (4); R1 (2),J1 (5); T2 (3); K1 (2),Late Holocene (post-4.2ka) (16)
139,16,South Asia,South Asia (16),2275,2275,2351,28.86,83.92,Nepal_LIA_EMiddleKingdoms (9); Nepal_LIA (7),n/ (10); O2 (6),M9 (7); F1 (5); A6 (1),Late Holocene (post-4.2ka) (16)
100,16,Europe,Europe (16),1568,1401,1625,39.36,-8.93,Portugal_LateAntiquity_ImperialRoman_Roman (8); Portugal_Roman (6); Portugal_LateAntiquity_ImperialRoman_Roman-oAfrica (1),n/ (6); R1 (4); G2 (1),—,Late Holocene (post-4.2ka) (16)
145,16,Europe,Europe (16),350,350,350,61.85,-6.8,FaroeIslands_EarlyModern (14); FaroeIslands_EarlyModern-1 (1); FaroeIslands_EarlyModern-2 (1),R1 (12); n/ (3); I1 (1),H3 (8); H5 (2); H1 (2),Late Holocene (post-4.2ka) (16)
164,15,East Asia,East Asia (15),1426,1308,1550,24.05,107.51,China_Guangxi_BalongCave_NorthernAndSouthernDynasties (4); China_Guangxi_CenxunCave (3); China_Guangxi_QinchangCave_NorthernAndSouthernDynasties (2),n/ (6); O1 (5); C (2),M7 (6); R9 (2); D4 (2),Late Holocene (post-4.2ka) (15)
208,15,Europe,Europe (15),600,500,800,47.43,34.27,Ukraine_LateMedieval_Nogai (7); Ukraine_GoldenHorde_LateMedieval (5); Ukraine_LateMedieval (3),n/ (7); R1b1 (2); R1a1 (1),J1 (2); M7 (2); C4 (2),Late Holocene (post-4.2ka) (15)
23,15,East Asia,East Asia (15),6785,6652,6954,42.79,131.28,Russia_PrimorskyKrai_MN_Boisman (12); Russia_PrimorskyKrai_N (2); Russia_PrimorskyKrai_MN (1),n/ (8); C2 (5); CF (1),D4 (7); C5 (4); B4 (2),Mid-Holocene (Holocene Climatic Optimum / 8.2ka aftermath) (15)
39,15,Europe,Europe (15),6071,5946,6263,56.28,25.13,Latvia_MN (4); Latvia_MN-3 (3); Latvia_MN-2 (2),n/ (8); R1 (6),U4 (10); U5 (4),Mid-Holocene (Holocene Climatic Optimum / 8.2ka aftermath) (15)
83,15,Americas,Americas (15),1000,1000,1000,29.06,-108.92,Mexico_Tayopa_1000BP (15),Q1 (6); n/ (6); CT (1),B2 (4); C1 (3); R (2),Late Holocene (post-4.2ka) (15)
1,15,Europe,Europe (15),10078,9900,10296,38.22,39.75,Turkey_PPN (15),n/ (10); G2 (3); C (1),U3 (4); n/ (3); K1 (3),Early Holocene (rapid warming) (15)
72,14,Europe,Europe (14),9249,9170,9500,44.57,22.05,Serbia_IronGates_Mesolithic (7); Romania_IronGates_Mesolithic (2); Serbia_IronGates_Mesolithic-oHighEEF (2),n/ (10); R1 (4),K1 (5); U5 (4); U4 (3),Early Holocene (rapid warming) (14)
16,14,Americas,Americas (14),3199,3050,3463,34.02,-119.68,USA_California_3000BP (6); USA_1600BP (4); USA_California_3400BP (3),n/ (9); Q1 (3),A2 (4); B2 (3); C1 (2),Late Holocene (post-4.2ka) (14)
98,14,Europe,Europe (9); Near East / SW Asia (5),1900,1850,2034,40.69,43.85,Armenia_Beniamin_Antiquity (8); Armenia_Aghitu_Antiquity (3); Armenia_Sarukhan_Antiquity (2),n/ (7); I2 (2); R1 (2),W3 (1); H1 (1); T2 (1),Late Holocene (post-4.2ka) (14)
106,14,Central Asia / Steppe,Central Asia / Steppe (14),1000,950,1100,55.85,61.55,Russia_Chelyabinsk_Karayakupovo_Kushnarenkovo (8); Russia_Bashkortostan_EarlyMedieval_Karayakupovo (5); Russia_Medieval_Kusnarenkovo_Karajakupovo (1),N1 (11); n/ (2); G2 (1),C4 (4); N1 (3); U5 (2),Late Holocene (post-4.2ka) (14)
200,14,SE Asia / Oceania,SE Asia / Oceania (14),1492,1338,1553,7.35,134.5,Palau_KororQuarry_1500BP (8); Palau_Ngkeklau_1400BP (3); Palau_OmedokelCave_1400BP (2),n/ (5); S (2); S1 (2),B4 (5); B5 (2); P1 (2),Late Holocene (post-4.2ka) (14)
148,14,Americas,Americas (14),673,602,855,14.09,-60.93,SaintLucia_Ceramic (12); Guadeloupe_Ceramic (2),Q1 (7); n/ (7),C1 (6); A2 (3); B2 (3),Late Holocene (post-4.2ka) (14)
213,14,East Asia,East Asia (14),3098,2968,3203,34.87,113.35,China_Henan_Xisima_LShang (10); China_Jinan_LiuJiaZhuang_Shang (2); China_Jining_XiChen_Shang (1),n/ (3); O2 (2); N (2),—,Late Holocene (post-4.2ka) (14)
